2022-10-24 09:12:28,978 DEBUG        (node5602, node5957) - port: 1, 100GB, 0.0020499999999999997ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node7268, node6256) - port: 1, 100GB, 0.0020499999999999997ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node5546, node5905) - port: 1, 100GB, 0.0044ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node7268, node6202) - port: 1, 100GB, 0.0016500000000000002ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node5546, node6478) - port: 1, 100GB, 0.0003ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node3954, node6361) - port: 1, 100GB, 0.00425ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node7785, node6734) - port: 1, 100GB, 0.00145ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node5314, node6472) - port: 1, 100GB, 0.0022500000000000003ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node5979, node6414) - port: 1, 100GB, 0.0016500000000000002ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node6277, node6413) - port: 1, 100GB, 0.00155ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node6245, node6510) - port: 1, 100GB, 0.0018ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node5981, node6540) - port: 1, 100GB, 0.0018ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node5991, node6130) - port: 1, 100GB, 0.00025ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node6734, node6389) - port: 1, 100GB, 0.004050000000000001ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node5149, node5958) - port: 1, 100GB, 0.0008500000000000001ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node5353, node6391) - port: 1, 100GB, 0.0033000000000000004ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node5149, node6392) - port: 1, 100GB, 0.0008ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node5945, node6509) - port: 1, 100GB, 0.00305ms, 4.5+14w
