2022-10-24 09:10:04,435 DEBUG        (node6586, node4183) - port: 4, 100GB, 0.0033000000000000004ms, 4.5+14w
2022-10-24 09:10:04,435 DEBUG        (node5891, node4400) - port: 4, 100GB, 0.0008ms, 4.5+14w
2022-10-24 09:10:04,435 DEBUG        (node6586, node4402) - port: 4, 100GB, 0.0037ms, 4.5+14w
2022-10-24 09:10:04,435 DEBUG        (node5891, node4972) - port: 4, 100GB, 0.0037ms, 4.5+14w
2022-10-24 09:10:04,435 DEBUG        (node5891, node5216) - port: 4, 100GB, 0.0029ms, 4.5+14w
2022-10-24 09:10:04,435 DEBUG        (node5834, node6578) - port: 4, 100GB, 0.00555ms, 4.5+14w
2022-10-24 09:10:04,435 DEBUG        (node5834, node4518) - port: 4, 100GB, 0.0061ms, 4.5+14w
2022-10-24 09:10:04,435 DEBUG        (node5834, node5655) - port: 4, 100GB, 0.00155ms, 4.5+14w
2022-10-24 09:10:04,435 DEBUG        (node5834, node5989) - port: 4, 100GB, 0.0064ms, 4.5+14w
2022-10-24 09:10:04,435 DEBUG        (node4812, node4912) - port: 4, 100GB, 0.0019ms, 4.5+14w
2022-10-24 09:10:04,435 DEBUG        (node5834, node3753) - port: 4, 100GB, 0.0054ms, 4.5+14w
2022-10-24 09:10:04,435 DEBUG        (node5834, node5455) - port: 4, 100GB, 0.00475ms, 4.5+14w
2022-10-24 09:10:04,435 DEBUG        (node5834, node6290) - port: 4, 100GB, 0.0024ms, 4.5+14w
2022-10-24 09:10:04,435 DEBUG        (node4812, node5376) - port: 4, 100GB, 0.0016ms, 4.5+14w
2022-10-24 09:10:04,435 DEBUG        (node3926, node7519) - port: 4, 100GB, 0.0040999999999999995ms, 4.5+14w
2022-10-24 09:10:04,435 DEBUG        (node4812, node5771) - port: 4, 100GB, 0.0048ms, 4.5+14w
2022-10-24 09:10:04,435 DEBUG        (node3714, node4913) - port: 4, 100GB, 0.006600000000000001ms, 4.5+14w
2022-10-24 09:10:04,435 DEBUG        (node3714, node5712) - port: 4, 100GB, 0.0032ms, 4.5+14w
2022-10-24 09:10:04,435 DEBUG        (node5314, node5314_hw2) - port: 8, 10GB, 0.0ms, 10.0+4.2w
